parameter,p3_L1_plasmid,p3_L1_virus,p3_L2_plasmid,p3_L2_virus,p3_L3_plasmid,p3_L3_virus,p3_T7_control,p3_WT_plasmid,p3_WT_virus
coverage,564869994,230204514,452887948,209998098,529543608,211492042,135573888,142454888,118533074
min.coverage,500419,165643,430341,158302,508810,152441,120868,136192,109139
frct.codons,0.307297464440322,0.101443001443001,0.307091321377036,0.0996083281797567,0.30717377860235,0.106307977736549,0.00832817975675119,0.0059575345289631,0.00797773654916512
frct.aa,0.958181818181818,0.30974025974026,0.957532467532468,0.303961038961039,0.957792207792208,0.32512987012987,0.0262337662337662,0.0187662337662338,0.025
mut.rate,0.00108228089028216,5.6578821039104e-4,0.00113112305651375,6.8527763522886e-4,0.0010616727149693,5.2110707787293e-4,1.73042171660667e-5,1.4874884461669e-5,2.46935298412998e-5
rate.single,6.63232255172683e-5,5.15194067827879e-5,7.01343459022672e-5,5.96672070810851e-5,6.56093274947056e-5,4.58504249535782e-5,1.64707233298495e-5,1.42711845731822e-5,2.37233364925641e-5
rate.double,4.1148052201193e-4,2.5817478105577e-4,4.2842385375201e-4,3.102361431864e-4,4.049336008603e-4,2.4155045985134e-4,1.77025239550554e-7,4.91383630163677e-8,3.37458556081993e-7
rate.triple,6.0447714275295e-4,2.5601583120998e-4,6.3256485685947e-4,3.1530761769089e-4,5.9112978661428e-4,2.3356434375909e-4,7.37605164793976e-9,7.01976614519538e-9,1.68729278040996e-8
s.rate,1.13742986319787e-5,4.20712862302952e-5,1.21575326177591e-5,5.3138576521774e-5,1.12228717526131e-5,3.82614869263024e-5,0,0,2.53093917061495e-8
ns.rate,0.00106080515227368,5.2371692416074e-4,0.00110821231215453,6.3212953481131e-4,0.00104052620346236,4.8284559094663e-4,1.73042171660667e-5,1.4874884461669e-5,2.46682204495937e-5
stop.rate,1.0101439376509e-5,0,1.07532117414615e-5,9.523895783094191e-9,9.92363975432973e-6,0,0,0,0
