parameter,p3_L1_hela,p3_L1_RPE,p3_L2_hela,p3_L2_RPE,p3_L3_hela,p3_L3_RPE
coverage,230204514,245546203,209998098,255137961,211492042,204102758
min.coverage,165643,241642,158302,252233,152441,202926
frct.codons,0.101443001443001,0.101401772830344,0.0996083281797567,0.10395794681509,0.106307977736549,0.100350443207586
frct.aa,0.30974025974026,0.309675324675325,0.303961038961039,0.317662337662338,0.32512987012987,0.306363636363636
mut.rate,5.6578821039104e-4,6.1323285866489e-4,6.8527763522886e-4,7.358528666771e-4,5.2110707787293e-4,5.5136442595253e-4
rate.single,5.15194067827879e-5,4.97055130597967e-5,5.96672070810851e-5,5.83919379993791e-5,4.58504249535782e-5,4.99993243599383e-5
rate.double,2.5817478105577e-4,2.8377144158079e-4,3.102361431864e-4,3.3497955249395e-4,2.4155045985134e-4,2.5467073796229e-4
rate.triple,2.5601583120998e-4,2.7969481572476e-4,3.1530761769089e-4,3.4241474556583e-4,2.3356434375909e-4,2.4662087123781e-4
s.rate,4.20712862302952e-5,4.14748828349832e-5,5.3138576521774e-5,5.21874516352351e-5,3.82614869263024e-5,3.76134064783191e-5
ns.rate,5.2371692416074e-4,5.717539032766e-4,6.3212953481131e-4,6.8365757614563e-4,4.8284559094663e-4,5.1374611998138e-4
stop.rate,0,4.0725533027281204e-9,9.523895783094191e-9,7.838896227598211e-9,0,4.8994928329189905e-9
